FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
1,Giessen,Bayreuth,1,1,P1 - 09:05 ,"#21 KOCH, F.(GIE)",197,86,,"#3 THORNTON, M.(BAY)",193,88,-4,0,,RadeeshKATTUR,175,83,,,1,,,,Vict
2,,,,2,P1 - 04:29 ,"#15 ALLEN, T.(BAY)",203,105,,"#3 BLAKE, B.(GIE)",201,100,-2,0,,RadeeshKATTUR,175,83,,,1,Matrix (Refs):,Größe,Gewicht,Vict
3,,,,3,P1 - 02:07 ,"#19 SAJUS, M.(BAY)",208,118,,"#1 OMOT, N.(GIE)",206,91,-2,0,,NesaKOVACEVIC,193,82,,,1,TamerARIK,180,86,Vict
4,,,,4,P1 - 01:17 ,"#54 BRYANT, J.(GIE)",211,127,,"#19 SAJUS, M.(BAY)",208,118,-3,0,,RadeeshKATTUR,175,83,,,1,BenjaminBARTH,185,70,Vict
5,,,,5,P1 - 00:56 ,"#22 WELLS, C.(BAY)",186,94,,"#2 NAWROCKI, D.(GIE)",193,93,7,1,,RadeeshKATTUR,175,83,,,1,DominikBEJAOUI,179,81,Perp
6,,,,6,P1 - 00:11 ,"#4 KRAUSHAAR, B.(GIE)",190,78,,"#22 WELLS, C.(BAY)",186,94,-4,0,,NesaKOVACEVIC,193,82,,,1,SteveBITTNER,189,93,Vict
7,,,,7,P2 - 09:33 ,"#3 BLAKE, B.(GIE)",201,100,,"#11 SEIFERTH, A.(BAY)",209,113,8,1,,NesaKOVACEVIC,193,82,,,1,NicolaiBOHN,195,77,Perp
8,,,,8,P2 - 08:04 ,"#3 THORNTON, M.(BAY)",193,88,,"#12 BINAPFL, K.(GIE)",198,92,5,1,,RadeeshKATTUR,175,83,,,1,AndreasBOHN,176,86,Perp
9,,,,9,P2 - 07:00 ,"#5 ANDERSON, K.(GIE)",180,79,,"#3 THORNTON, M.(BAY)",193,88,13,1,,MoritzREITER,189,91,,,1,NicolasBRENDEL,185,81,Perp
10,,,,10,P2 - 05:28 ,"#21 JOESAAR, J.(BAY)",198,94,,"#20 ALKINS, R.(GIE)",196,102,-2,0,offensive,MoritzREITER,189,91,,,1,GentianCICI,178,74,Vict
11,,,,11,P2 - 05:00 ,"#54 BRYANT, J.(GIE)",211,127,,"#7 JALALPOOR, P.(BAY)",188,86,-23,0,,RadeeshKATTUR,175,83,,,1,StefanFINGERLING,168,74,Vict
12,,,,12,P2 - 04:18 ,"#11 SEIFERTH, A.(BAY)",209,113,,"#20 ALKINS, R.(GIE)",196,102,-13,0,,NesaKOVACEVIC,193,82,,,1,SvenFRISCHMUTH,187,90,Vict
13,,,,13,P2 - 03:57 ,"#25 FAYNE II, P.(GIE)",203,100,,"#11 SEIFERTH, A.(BAY)",209,113,6,1,,MoritzREITER,189,91,,,1,ClemensFRITZ,192,94,Perp
14,,,,14,P2 - 03:28 ,"#25 FAYNE II, P.(GIE)",203,100,,"#10 DORETH, B.(BAY)",183,83,-20,0,,MoritzREITER,189,91,,,1,JohannesHACK,177,80,Vict
15,,,,15,P2 - 02:58 ,"#54 BRYANT, J.(GIE)",211,127,,"#19 SAJUS, M.(BAY)",208,118,-3,0,,MoritzREITER,189,91,,,1,NerminHODZIC,188,82,Vict
16,,,,16,P2 - 02:12 ,"#2 ANIM, S.(BAY)",196,95,,"#3 BLAKE, B.(GIE)",201,100,5,1,,MoritzREITER,189,91,,,1,RadeeshKATTUR,175,83,Perp
17,,,,17,P2 - 00:12 ,"#2 ANIM, S.(BAY)",196,95,,"#21 KOCH, F.(GIE)",197,86,1,1,,NesaKOVACEVIC,193,82,,,1,NesaKOVACEVIC,193,82,Perp
